Dataset;ContrAvs;HVAvs;GDAvs;ContrAvc;HVAvc;GDAvc;ContrAvsc;HVAvsc;GDAvsc;ContrAs;HVAs;GDAs;ContrAc;HVAc;GDAc;ContrAsc;HVAsc;GDAsc;ContrRandom;HVRandom;GDRandom
3;0.0216;0.5157;0.0018;0.417;0.5153;0.0038;0.1908;0.5143;0.0013;0.1018;0.5176;0.0014;0.0553;0.5157;0.0011;0.2133;0.5186;0.0009;0;0.2066;0.0186
3;0.0406;0.5107;0.0019;0.304;0.5028;0.0062;0.2293;0.5116;0.0012;0.132;0.5124;0.0016;0.1146;0.5107;0.0011;0.1792;0.5124;0.001;0;0.214;0.0192
3;0.1346;0.5012;0.0022;0.1394;0.4787;0.0062;0.2595;0.5014;0.0013;0.2181;0.5032;0.0014;0.1167;0.5006;0.0011;0.1313;0.5018;0.0011;0;0.201;0.0194
3;0.05;0.5109;0.0016;0.4055;0.5067;0.0057;0.1253;0.5079;0.0014;0.1134;0.5114;0.0014;0.0873;0.5107;0.0011;0.2182;0.5122;0.001;0;0.2014;0.0191
3;0.1044;0.5153;0.0016;0.3463;0.5121;0.0037;0.1244;0.5127;0.0013;0.1466;0.5159;0.0013;0.1036;0.5137;0.0011;0.1743;0.5149;0.001;0;0.1904;0.0187
3;0.017;0.5034;0.0023;0.2255;0.5008;0.0055;0.2093;0.5051;0.0016;0.1685;0.5077;0.0015;0.0561;0.506;0.001;0.3234;0.5079;0.0011;0;0.2354;0.0179
3;0.1705;0.5117;0.0017;0.2388;0.5004;0.0053;0.2185;0.5103;0.0013;0.0154;0.5083;0.0027;0.2087;0.5114;0.001;0.1478;0.5104;0.0009;0;0.2168;0.0191
3;0.1204;0.5156;0.0014;0.0445;0.4954;0.0059;0.3189;0.516;0.0011;0.1552;0.516;0.0014;0.1204;0.5145;0.001;0.2402;0.516;0.0009;0;0.1941;0.0229
3;0.2168;0.5257;0.0011;0.042;0.5091;0.0049;0.2327;0.5224;0.0011;0.1588;0.5254;0.0013;0.1866;0.5234;0.001;0.1628;0.5244;0.0008;0;0.1874;0.0196
3;0.2156;0.5196;0.0015;0.0378;0.4921;0.0052;0.2491;0.517;0.0013;0.103;0.5186;0.0015;0.1176;0.5169;0.0011;0.2766;0.519;0.0009;0;0.2193;0.0187
3;0.0823;0.5177;0.0023;0.3985;0.5084;0.0058;0.1355;0.5162;0.0014;0.0673;0.5181;0.0016;0.1612;0.5193;0.0009;0.155;0.5197;0.0009;0;0.2016;0.0188
3;0;0.4792;0.0068;0.3368;0.5051;0.0045;0.1708;0.5051;0.0014;0.1313;0.5094;0.0013;0.1941;0.5092;0.001;0.1668;0.5089;0.001;0;0.1858;0.0191
3;0.1718;0.519;0.0015;0.1718;0.5018;0.0048;0.2853;0.5184;0.0012;0.1097;0.5174;0.002;0.0847;0.5173;0.0009;0.1763;0.5184;0.0009;0;0.1847;0.0185
4;0.0114;0.5657;0.0055;0.0655;0.5453;0.0075;0.3152;0.582;0.0025;0.0145;0.5738;0.0039;0.334;0.5846;0.0024;0.2591;0.5838;0.0024;0;0.2841;0.0171
