Dataset;ContrACII;HVACII;GDACII;ContrAC;HVAC;GDAC;ContrA;HVA;GDA;ContrI;HVI;GDI;Contr;HV;GD
5;0.5939;0.5399;0.0003;0;0.3856;0.0247;0.406;0.5393;0.0002;0;0.1326;0.1027;0;0;0.2217
5;0.6422;0.5416;0.0002;0;0;0.2962;0.3577;0.5406;0.0002;0;0.1819;0.093;0;0;0.2471
5;0.2974;0.5397;0.0002;0.388;0.519;0.0161;0.3145;0.5397;0.0002;0;0.1473;0.1028;0;0;0.1898
5;0.6049;0.5413;0.0002;0;0.3928;0.0437;0.395;0.5406;0.0002;0;0.1165;0.0999;0;0;0.2258
5;0.6343;0.5413;0.0002;0;0.4534;0.0243;0.3656;0.5405;0.0003;0;0.1619;0.0842;0;0;0.2135
5;0.4778;0.5408;0.0002;0.2825;0.5008;0.0222;0.2395;0.5393;0.0002;0;0.1394;0.1064;0;0;0.2011
6;0.3455;0.5419;0;0.2845;0.538;0.0001;0.2907;0.5418;0;0.0489;0.5272;0.0008;0.0302;0.522;0.001
6;0.3456;0.5424;0;0.3043;0.5407;0.0001;0.2697;0.5422;0;0.0521;0.529;0.0007;0.028;0.5227;0.001
6;0.3753;0.5426;0;0.2697;0.5395;0.0002;0.2765;0.5422;0;0.0528;0.5283;0.0007;0.0255;0.5249;0.0008
6;0.3722;0.5453;0;0.2936;0.5415;0.0002;0.2869;0.5438;0.0001;0.0453;0.5325;0.0008;0.0017;0.5277;0.0009
6;0.5422;0.5467;0;0;0.4966;0.0028;0.3406;0.5463;0;0.0653;0.5332;0.0007;0.0518;0.527;0.0008
6;0.379;0.5404;0;0.2628;0.5357;0.0002;0.2762;0.5403;0;0.0451;0.5262;0.0008;0.0366;0.5204;0.001
6;0.3308;0.5412;0;0.3202;0.5395;0.0001;0.2705;0.5403;0.0001;0.0505;0.5275;0.0008;0.0277;0.521;0.0009
6;0.291;0.5397;0;0.3014;0.5374;0.0001;0.3092;0.5398;0;0.0519;0.5247;0.0008;0.0462;0.522;0.0009
6;0.3603;0.5401;0;0.2638;0.5374;0.0002;0.2877;0.5393;0.0001;0.0416;0.5249;0.001;0.0464;0.5261;0.0009
6;0.3742;0.5418;0;0.2657;0.5391;0.0002;0.3041;0.5419;0;0.0232;0.5267;0.0011;0.0326;0.5256;0.001
6;0.3816;0.5408;0;0.2606;0.5391;0.0001;0.2841;0.5404;0;0.0352;0.5251;0.001;0.0383;0.5232;0.0008
6;0.3244;0.5404;0;0.3091;0.5385;0.0002;0.291;0.5405;0;0.0509;0.527;0.0008;0.0243;0.5231;0.0008
6;0.3289;0.5407;0;0.3239;0.5382;0.0004;0.2625;0.5396;0.0002;0.0468;0.5263;0.0008;0.0377;0.5232;0.001
6;0.3708;0.5421;0;0.2704;0.5386;0.0002;0.2635;0.5405;0.0001;0.0497;0.5288;0.0011;0.0454;0.5261;0.0008
6;0.3542;0.5415;0;0.3004;0.5388;0.0002;0.2511;0.5413;0;0.0471;0.5262;0.0009;0.0471;0.5242;0.0008
6;0.3522;0.5436;0;0.295;0.5425;0.0001;0.2849;0.5429;0.0001;0.0386;0.5297;0.0009;0.029;0.5244;0.0009
