Dataset;ContrACII;HVACII;GDACII;ContrAC;HVAC;GDAC;ContrA;HVA;GDA;ContrI;HVI;GDI;Contr;HV;GD
3;0.7064;0.5505;0;0;0.5183;0.0051;0.2935;0.5501;0;0;0.4419;0.0119;0;0.3821;0.0141
3;0.6954;0.7163;0.0001;0.0007;0.6851;0.0035;0.3037;0.7177;0;0;0.6344;0.0071;0;0.5993;0.0088
3;0.7017;0.6068;0;0;0.4392;0.0162;0.2982;0.606;0.0001;0;0.4986;0.0085;0;0.4458;0.0116
3;0.6955;0.5177;0;0;0.4988;0.0116;0.3044;0.5163;0;0;0.411;0.0131;0;0.3379;0.0146
3;0.7085;0.5789;0;0;0.4052;0.0171;0.2914;0.5781;0;0;0.4774;0.011;0;0.4115;0.0116
3;0.716;0.5303;0;0;0.5052;0.0095;0.2839;0.5294;0;0;0.4241;0.0136;0;0.3576;0.015
3;0.7171;0.6028;0;0;0.5626;0.0053;0.2828;0.6019;0;0;0.4981;0.0081;0;0.4473;0.0112
3;0.7458;0.5957;0;0;0.4183;0.0156;0.2541;0.5945;0;0;0.492;0.0096;0;0.4286;0.0115
3;0.7072;0.5326;0;0;0.4865;0.0072;0.2927;0.5315;0;0;0.4271;0.0135;0;0.37;0.0147
3;0.6688;0.5137;0;0;0.4769;0.0113;0.3311;0.5133;0.0001;0;0.4008;0.0141;0;0.3462;0.0151
3;0.7788;0.5862;0;0;0.54;0.0053;0.2211;0.5845;0;0;0.4831;0.0075;0;0.4253;0.0116
3;0.7232;0.5282;0;0;0.4791;0.0102;0.2767;0.5274;0;0;0.4283;0.0155;0;0.3584;0.0137
3;0.6953;0.6371;0.0001;0;0.5845;0.0029;0.3046;0.6368;0;0;0.5415;0.0076;0;0.4845;0.0103
3;0.6983;0.5778;0;0.0301;0.5566;0.0024;0.2714;0.5779;0;0;0.4712;0.0102;0;0.4138;0.0112
3;0.6676;0.5029;0;0;0.4691;0.0118;0.3323;0.5023;0;0;0.4008;0.0164;0;0.3345;0.0162
3;0.714;0.664;0;0;0.6393;0.002;0.2859;0.6638;0;0;0.5673;0.007;0;0.5177;0.01
3;0.7603;0.5311;0;0;0.4831;0.0112;0.2396;0.5297;0;0;0.4291;0.012;0;0.3583;0.0141
3;0.7282;0.5074;0;0.0386;0.4989;0.0147;0.2331;0.5062;0.0002;0;0.3987;0.015;0;0.3331;0.0172
3;0.7108;0.6041;0;0;0.5669;0.0061;0.2891;0.6039;0;0;0.5022;0.0086;0;0.4382;0.0106
3;0.7445;0.5245;0;0;0.5001;0.0105;0.2554;0.5237;0;0;0.4232;0.0159;0;0.3549;0.0144
3;0.7386;0.5387;0;0;0.5099;0.0073;0.2613;0.5371;0;0;0.4308;0.0129;0;0.3645;0.0125
3;0.7115;0.5416;0;0;0.5001;0.0082;0.2884;0.5394;0;0;0.4371;0.0112;0;0.3747;0.0135
4;0.6336;0.5905;0.0005;0.3245;0.5869;0.0008;0.0418;0.5852;0.0011;0;0.5121;0.019;0;0.4839;0.0205
4;0.6606;0.5823;0.0006;0.298;0.5759;0.0023;0.0412;0.5772;0.0013;0;0.5005;0.0186;0;0.4724;0.0211
4;0.6819;0.5828;0.0005;0.257;0.5736;0.002;0.0609;0.5773;0.0012;0;0.5039;0.0177;0;0.4741;0.019
4;0.731;0.5846;0.0004;0.237;0.5737;0.0042;0.0319;0.5789;0.0008;0;0.5048;0.0202;0;0.4612;0.0194
4;0.6894;0.584;0.0004;0.2554;0.5773;0.0021;0.0551;0.5794;0.0014;0;0.5057;0.0202;0;0.4757;0.0201
4;0.6462;0.5834;0.0004;0.3076;0.5783;0.0026;0.046;0.5783;0.0011;0;0.5007;0.0188;0;0.4863;0.0199
4;0.9249;0.5885;0.0004;0;0.4684;0.0119;0.075;0.5841;0.0009;0;0.5049;0.02;0;0.4753;0.0204
4;0.9481;0.5824;0.0005;0;0.4579;0.0116;0.0518;0.5769;0.0013;0;0.4991;0.0209;0;0.4725;0.0155
4;0.6726;0.5823;0.0005;0.2521;0.579;0.0021;0.0751;0.5786;0.0008;0;0.5055;0.0208;0;0.4745;0.0182
4;0.9563;0.583;0.0004;0;0.4603;0.0133;0.0436;0.5774;0.001;0;0.5053;0.0197;0;0.4605;0.0193
4;0.7364;0.5835;0.0004;0.2137;0.576;0.0019;0.0498;0.5782;0.0007;0;0.4972;0.0181;0;0.4698;0.02
4;0.6933;0.5841;0.0004;0.258;0.579;0.0027;0.0485;0.5791;0.0013;0;0.5061;0.0187;0;0.4783;0.0187
4;0.7935;0.5814;0.0004;0.1366;0.5698;0.0025;0.0697;0.5758;0.0011;0;0.5011;0.0171;0;0.458;0.0206
4;0.7235;0.583;0.0004;0.2244;0.5777;0.0028;0.052;0.5776;0.001;0;0.4964;0.0199;0;0.4794;0.0206
4;0.7785;0.5819;0.0004;0.1872;0.5678;0.0023;0.0342;0.5765;0.0009;0;0.5094;0.02;0;0.4624;0.021
4;0.7083;0.5818;0.0004;0.2422;0.5787;0.0008;0.0493;0.5747;0.0017;0;0.499;0.0182;0;0.4632;0.0197
4;0.7103;0.5836;0.0004;0.2586;0.5813;0.001;0.031;0.5786;0.0006;0;0.5055;0.019;0;0.4709;0.0213
4;0.7864;0.5858;0.0005;0.1704;0.5707;0.0018;0.043;0.581;0.0007;0;0.4977;0.0214;0;0.4891;0.0191
4;0.6461;0.5867;0.0005;0.3092;0.5817;0.0018;0.0446;0.582;0.0006;0;0.5077;0.0204;0;0.4677;0.02
4;0.7746;0.583;0.0004;0.1755;0.5773;0.0014;0.0497;0.5778;0.0014;0;0.5;0.0192;0;0.4676;0.0179
