Dataset;ContrACII;HVACII;GDACII;ContrAC;HVAC;GDAC;ContrA;HVA;GDA;ContrI;HVI;GDI;Contr;HV;GD
4;0.4883;0.5894;0.0047;0.4784;0.5867;0.0048;0.0331;0.5735;0.0162;0;0.4811;0.0116;0;0.4388;0.0113
4;0.5047;0.6151;0.0042;0.4631;0.6104;0.0043;0.0321;0.5977;0.0121;0;0.5128;0.0107;0;0.4693;0.0102
4;0.4981;0.5932;0.0051;0.4688;0.5898;0.0044;0.0329;0.5756;0.0153;0;0.4928;0.0118;0;0.4405;0.0112
4;0.4777;0.5999;0.0042;0.4922;0.6007;0.0046;0.0299;0.578;0.0142;0;0.5019;0.0115;0;0.4442;0.0105
4;0.4758;0.5905;0.0042;0.484;0.5908;0.005;0.04;0.5744;0.0156;0;0.4846;0.0121;0;0.443;0.0112
4;0.5075;0.6041;0.0043;0.45;0.6003;0.0043;0.0424;0.5869;0.0092;0;0.4974;0.011;0;0.4471;0.0107
4;0.4929;0.6033;0.0042;0.4672;0.6008;0.0042;0.0398;0.583;0.0157;0;0.4966;0.0113;0;0.4499;0.0108
4;0.4986;0.5932;0.0041;0.4625;0.5892;0.0046;0.0388;0.5792;0.0155;0;0.4873;0.0118;0;0.4421;0.0114
4;0.4767;0.5941;0.0044;0.5;0.5948;0.0047;0.0232;0.5771;0.0144;0;0.485;0.0122;0;0.4437;0.0112
4;0.922;0.5808;0.0046;0;0.4443;0.0122;0.0779;0.5652;0.0188;0;0.4722;0.0121;0;0.4236;0.0116
4;0.4941;0.587;0.0046;0.4771;0.5849;0.0049;0.0286;0.5676;0.0161;0;0.4766;0.012;0;0.4354;0.0116
4;0.5081;0.5954;0.005;0.4652;0.5924;0.0039;0.0266;0.5745;0.0176;0;0.4907;0.0117;0;0.4369;0.0109
4;0.4854;0.6073;0.0048;0.477;0.6064;0.0046;0.0374;0.5921;0.0128;0;0.5054;0.0107;0;0.4641;0.0107
4;0.4919;0.5886;0.0042;0.4694;0.5855;0.0046;0.0385;0.5765;0.0171;0;0.4826;0.0118;0;0.4427;0.0114
4;0.4995;0.5899;0.0044;0.4682;0.5877;0.0052;0.0322;0.569;0.0147;0;0.4882;0.0119;0;0.4419;0.0113
5;0.2638;0.5375;0.0468;0.7291;0.5426;0.0479;0.0069;0.4847;0.1985;0;0;0.1377;0;0;0.6547
5;0.3631;0.5591;0.0424;0.6368;0.5591;0.0431;0;0.4528;0.1932;0;0.1049;0.1323;0;0;0.6588
5;0.2929;0.5421;0.0475;0.707;0.5438;0.0471;0;0.4933;0.1993;0;0.023;0.1392;0;0;0.6457
5;0.3074;0.541;0.0432;0.6897;0.5292;0.0451;0.0027;0.4884;0.1758;0;0;0.1437;0;0;0.6088
5;0.3017;0.5411;0.0457;0.6982;0.5445;0.0463;0;0.4884;0.1845;0;0.0001;0.1402;0;0;0.6722
5;0.3487;0.5354;0.0479;0.6512;0.5333;0.0455;0;0.4611;0.2137;0;0;0.1446;0;0;0.6764
5;0.2389;0.5286;0.0488;0.761;0.5348;0.0517;0;0.4523;0.1843;0;0.0284;0.1449;0;0;0.73
